% of recommended daily allowances (RDAs) ; % zalecanego spożycia dziennego
3 times daily ; trzy razy dziennie
Legal Advisor’s Office ; Kancelaria Radców Prawnych
legal opinion ; opinia prawna
lipophilic molecules ; cząsteczki lipofilne
lipophilic properties ; właściwości lipofilne
lipophilicity ; lipofilność
List of Ingredients ; Lista składników
liver ; wątroba
local reactions ; reakcje miejscowe
long chain ; długołańcuchowe
loss of intellectual faculties ; utrata zdolności intelektualnych
low body weight ; niska masa ciała
lowest laily dose ; najniższa dawka dobowa
lutein ; luteina
macula ; plamka
macula lutea of the eye ; plamka żółta oka
maintenance dose ; dawka podtrzymująca
matrix patch ;plaster macierzowy
matrix transdermal system ; system macierzowy przezskórnego dostarczania leku
maximal concentration ; maksymalne stężenie
medical environment ; środowisko lekarskie
medical experiment ; eksperyment medyczny
medicinal experiment ; eksperyment leczniczy
medicinal product ; produkt leczniczy
Medicinal Product Characteristic ; Charakterystyka Produkty Leczniczego
memory ; pamięć
memory retrieval ; funkcja przypominania
metabolic disorders ;zaburzenia metaboliczne
metabolism ; metabolizm
method of use ; metoda stosowania
migraine ; migrenowe bóle głowy
mild dementia ; otępienie w stopniu łagodnym
mild in severity ; o umiarkowanym stopniu nasilenia
mild reactions ; reakcje łagodne
mild severity ; łagodne nasilenie
mild to moderate AD ; choroba Alzheimera w stopniu łagodnym do umiarkowanego
mild to moderate dementia ; otępienie w stopniu łagodnym do umiarkowanego
minerals ; minerały
Ministry of Health ; Ministerstwo Zdrowia
mode of administration ; droga przyjmowania
moderate dementia ; otępienie w stopniu umiarkowanym
moderate reactions ; reakcje umiarkowane
moderate severity ; nasilenie umiarkowane
molecular weight ; masa cząsteczkowa
monoglycerides of fatty acids ; monoglicerydy kwasów tłuszczowych
motion sickness ; choroba lokomocyjna
muscarinic receptor antagonist ; antagonista receptorów muskarynowych
muscarinic receptors ; receptory muskarynowe
muscle relaxants ; leki zwiotczające mięśnie
muscle rigidity ; sztywność mięśni
muscle spasms ; skurcze mięśni
musculoskeletal and connective tissue disorders ; zaburzenia ze strony układu mięśniowego i tkanki łącznej
myalgia ; bóle mięśni
nasopharyngitis ; zapalenie jamy nosowej i gardła
National Health Fund ; Narodowy Fundusz Zdrowia
natural defense mechanisms ; naturalne mechanizmy obronne
nausea ; nudności
nervous system disorders ; zaburzenia ze strony układu nerwowego
neurons ; neurony
neurotransmission ; neuroprzewodnictwo
nitroglycerin ; nitrogliceryna
nocturia ; nykturia
nominal dose ; dawka nominalna
not smoking ; zaniechanie palenia
Novartis Group Executive Committee ; Zarząd
nutrients ; składniki odżywcze
nutritional disorders ; zaburzenia odżywiania
obstructive pulmonary disease ; obturacyjna choroba płuc
official interpretation ; oficjalna wykładnia
official standpoint ; oficjalne stanowisko
omega 3 fatty acids ; kwasy tłuszczowe omega-3
optimal doses ; dawki optymalne
oral dose ; dawka doustna
oral medications ; leki podawane drogą doustną
oral solution ; roztwór doustny
orally administered medications ; leki podawane doustnie
organic brain disease ; organiczna choroba mózgu
orientation ; orientacja
original package ; oryginalne opakowanie
oxidative stress ; stres oksydacyjny
pancreatitis ; zapalenie trzustki
parkinsonism ; parkinsonizm
patients with AD ; pacjenci z chorobą Alzheimera
peak ; szczyt
peak-trough fluctuations ; wahanie stężenia leku
peptic ulcer ; wrzody trawienne
peripheral edema ; obrzęki obwodowe
pharmaceutical market ; rynek farmaceutyczny
pharmacist ; farmaceuta
pharmacocinetic benefits ; korzyści farmakokinetyczne
pharmacokinetic parameters ; parametry farmakokinetyczne
pharmacokinetic profile ; profil farmakokinetyczny
pharmacokinetic rationale ; uzasadnienie farmakokinetyczne
pharmacokinetics ; farmakokinetyka
photoreceptor cells ; komórki fotoreceptorowe
physical barrier ; bariera fizyczna
physiochemical properties ; właściwości fizykochemiczne
pill burden ; liczba przyjmowanych tabletek
plasma concentrations ; stężenie leku w osoczu
plastic release liner ; plastikowa warstwa ochronna
pneumonia ; zapalenie płuc
poisoning ; zatrucie
polimeric matrix ; macierz polimerowa
pollakiuria ;częste oddawanie moczu
polymeric membrane ; błona polimerowa
polyunsaturated ;wielonienasycone
potent molecule ; cząsteczka o silnym działaniu
potential advantages ; potencjalne korzyści
potential side effects ; potencjalne działania uboczne
Practical Implementation Recommendations for Corporate  Citizenship in Third Party Relations ; zalecenia dot. stosowania zasad  polityki  obywatelskiej w kontaktach z partnerami
praxis  ; wykonywanie czynności
pregnancy ; ciąża
pregnant or lactating women ; kobiety w ciąży lub w okresie laktacji
primary care physisian ; lekarz podstawowej opieki zdrowotnej
procedural complications ; powikłania zabiegów
procedure of administering ; procedura stosowania
progressive dementia syndrome ; objawy postępującego otępienia
protective liner ; warstwa ochronna
Proteins ; Białko
pruritus ; świąd
public funds ; środki publiczne
randomized ; randomizowane
rash erythematous ; wysypka rumieniowata
rate of release ; prędkość uwalniania
rationale ; uzasadnienie stosowania
reaction against ; przeciwdziałanie
reasoning power ; zdolność rozumowania
recommended daily allowances ; zalecane spożycie dzienne (RDAs)
recommended dose ; zalecana dawka
red iron oxide ; czarny tlenek żelaza
redness ; zaczerwienienie
reduction in side effects ; redukcja działań ubocznych
registration indications ; wskazania rejestracyjne
regular exercise ; regularny wysiłek fizyczny
release of drug ; uwalnianie leku
renal disorders ; zaburzenia ze strony nerek
renal failure ; niewydolność nerek
reservoir transdermal system ; system rezerwuarowy przezskórnego dostarczania leku
respiratory diseases ; choroby układu oddechowego
retina ; siatkówka
rivastigmine ; rywastygmina
salivary hypersecretion ; nadmierne wydzielanie śliny
scopolamine ; skopolamina
sealed pouch ; zamknięta saszetka
secondary afficacy outcomes ; drugorzędowe parametry oceny skuteczności
seizures ; napady drgawek
sequelae ; następstwa
serious sequelae ; poważne następstwa
sertraline ; sertralina
sick sinus syndrome ; zespół chorej zatoki
side effects ;działania niepożądane
side effects zone ; strefa działań ubocznych
silicone layer ; warstwa silikonowa
skin disorders ; zaburzenia ze strony skóry
skin irritation ; podrażnienia skóry
skin ulcer ; owrzodzenia skóry
slow voluntary movement ; spowolnienie ruchów dowolnych
slowing heart rate ;zwolniona czynność serca
small intestine ; jelito cienkie
smoking cessation ; rzucanie palenia
smooth muscle ; mięśnie gładkie
softgel capsules ; miękkie kapsułki żelowe
soybean lecithin ; ecytyna sojowa
sól ; salt
special care ; szczególna ostrożność
statistical significance ; istotność statystyczna
statistically significant ;statystycznie znamienne
subcutaneous tissue disorders ; zaburzenia ze strony tkanki podskórnej
subdural hematoma ; krwiak podtwardówkowy
subtherapautic levels ; poziom subterapeutyczny
succinylcholine ; sukcynylocholina
superior tolerability ; lepsza tolerancja
swelling ; obrzęk
swelling of the airways ; obrzęk dróg oddechowych
synaptic clefts ; szczelina synaptyczna
systemic circulation ; krążenie ogólnoustrojowe
therapeutic window ; okno terapeutyczne
thickener ; zagęszczacz
thinking ; myślenie
titration regimen ; schemat zwiększania dawki
tolerability ; tolerancja
transdermal delivery system ; system przezskórnego dostarczania leku
transdermal patches ; plastry przezskórne
transdermal system ; system przezskórny
treatment ; leczenie
tremor ; drżenia
trough ; spadek
twice daily ; dwa razy dziennie
uncontrollable movements ; niekontrolowane ruchy
unsatisfactory therapeutic effect ; niezadowalający efekt terapeutyczny
upper arm ;górna część ramienia
upper back ; górne części pleców
urethane ; uretan
urinary incontinence ; nietrzymanie moczu
vinyl layer ; warstwa winylowa
visuospatial function ; orientacja wzrokowo-przestrzenna
vital functions ; funkcje życiowe
Vitamin C ; witamina C
Vitamin E ; witamina E
vitamin preparations ; preparaty witaminowe
vitamins ; witaminy
vomiting ; wymioty
warnings and precautions ; ostrzeżenia i środki ostrożności
weight loss ; spadek masy ciała
well-balanced diet ; dobrze zbilansowana dieta
zeaxanthin ; zeaksantyna
zero-order pharmacokinetics ; farmakokinetyka zerowego rzędu
zinc ; cynk
